frame_number,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
38,[761.6214294433594],[114.60067367553711],[1746.8131103515625],[675.9251403808594],[2139.150634765625],[770.2507629394531],[719.1695861816406],[211.3036651611328],[1821.0821533203125],[205.51166534423828],[1675.3106079101562],[237.53408813476562],[36.39444487541914],[382.4029235839844],[1910.7450561523438],[163.90424346923828],[977.2893676757812],[111.43059539794922],[1972.8497314453125],[548.2369384765625],,,,,,
39,[994.4072570800781],[116.63742446899414],[769.6413879394531],[119.51726150512695],[1747.6123046875],[659.4565124511719],[983.8833618164062],[110.21709060668945],[1008.7561645507812],[122.80913543701172],[2136.8885498046875],[766.4564514160156],[724.2425537109375],[209.54652404785156],[35.026827558875084],[381.3951721191406],[1905.2251586914062],[215.69046783447266],[1981.4380493164062],[541.5565032958984],[1851.3279418945312],[106.57260131835938],,,,
40,[1779.4908447265625],[650.702880859375],[986.5830383300781],[117.76004409790039],[2136.4896240234375],[768.8189086914062],[708.866943359375],[210.04397583007812],[1915.4595947265625],[181.76554107666016],[32.76878967881203],[380.19447326660156],[944.4918823242188],[94.36444473266602],[1970.9664306640625],[193.9661865234375],[2031.9324340820312],[555.1175842285156],[1910.8964233398438],[101.09024810791016],,,,,,
41,[750.9801025390625],[109.24229431152344],[2136.6256103515625],[770.3307495117188],[2087.5803833007812],[576.2239685058594],[1807.310546875],[665.6540832519531],[971.4114685058594],[102.12372970581055],[710.2353820800781],[205.70956420898438],[33.67451734095812],[380.7004699707031],[1995.9434204101562],[211.44144439697266],[1954.4495849609375],[116.49263381958008],,,,,,,,
42,[1791.0240478515625],[137.54471588134766],[749.0650024414062],[110.9672622680664],[1743.3912353515625],[693.5448303222656],[955.9906921386719],[98.16371726989746],[2137.0504150390625],[768.4768371582031],[708.126708984375],[204.64398956298828],[34.5030028000474],[381.1465301513672],[1871.62451171875],[235.59700775146484],[1913.25927734375],[165.74932098388672],[1987.0700073242188],[552.9557189941406],,,,,,
43,[1798.4651489257812],[130.63236236572266],[1764.3196411132812],[682.0182189941406],[2139.135009765625],[768.5067138671875],[699.8977966308594],[208.58615112304688],[1880.5360107421875],[180.80774688720703],[33.80024292320013],[379.84124755859375],[944.4341735839844],[92.39026641845703],[1874.871337890625],[216.52152252197266],[1994.3914794921875],[603.3201904296875],,,,,,,,
44,[1785.099609375],[579.6589050292969],[981.2675476074219],[115.65421676635742],[698.4757690429688],[204.71641540527344],[1897.5809326171875],[184.44696807861328],[2044.2593994140625],[193.38471221923828],[33.455266915261745],[379.4066925048828],[935.2063598632812],[90.39920043945312],[1959.0942993164062],[99.26443862915039],[2028.2717895507812],[459.2077178955078],,,,,,,,
45,[742.6818542480469],[109.81591415405273],[1766.5949096679688],[623.0577087402344],[986.1552429199219],[118.67787170410156],[702.0806274414062],[205.43761444091797],[2042.2119140625],[243.32325744628906],[35.336485259234905],[379.3853759765625],[1971.9703979492188],[136.34940338134766],[2013.5252075195312],[526.9973449707031],,,,,,,,,,
46,[739.5052185058594],[109.10193634033203],[1762.2234497070312],[655.2627258300781],[965.6001281738281],[102.73291778564453],[2138.678955078125],[770.4020385742188],[705.7164916992188],[207.39728546142578],[36.36971651762724],[381.05584716796875],[1891.4299926757812],[190.7376937866211],[1988.3027954101562],[475.7501525878906],[1824.2640991210938],[105.00696182250977],,,,,,,,
47,[1776.2445068359375],[641.3026123046875],[2137.9512939453125],[770.9660339355469],[697.5728454589844],[210.67330169677734],[34.93990444391966],[381.0811004638672],[938.5835266113281],[89.31415939331055],[1962.503173828125],[198.43585968017578],[2026.8233032226562],[545.3670196533203],[1912.0055541992188],[102.68042373657227],,,,,,,,,,
