 0,"[759.928466796875, 123.86181259155273]","[1835.1337890625, 685.7121276855469]","[1000.2539978027344, 126.00561141967773]","[2126.350830078125, 764.6376342773438]","[719.0083618164062, 221.14791107177734]","[30.571355909109116, 390.5901794433594]","[1663.4810791015625, 798.5747375488281]","[1897.6322021484375, 173.31028747558594]"
1,"[758.8367309570312, 122.31440734863281]","[1832.8103637695312, 685.1355895996094]","[1002.7882995605469, 126.60884857177734]","[2126.93701171875, 764.5216064453125]","[719.9172058105469, 219.68853759765625]","[31.06296345591545, 391.0252227783203]","[1934.322265625, 728.1885681152344]","[1670.705078125, 799.2118225097656]","[1897.5523681640625, 173.46551513671875]"
2,"[761.4629211425781, 121.31032943725586]","[1833.6934204101562, 684.2407531738281]","[1003.1835632324219, 126.15108108520508]","[2127.1815185546875, 764.4498596191406]","[718.4252319335938, 218.36859893798828]","[31.336942240595818, 391.05902099609375]","[1940.6035766601562, 729.20654296875]","[1672.74169921875, 800.5250244140625]","[1897.0772705078125, 173.56544494628906]"
3,"[761.2136840820312, 119.8455581665039]","[1833.097412109375, 685.996337890625]","[1002.1002502441406, 127.31605911254883]","[2126.8485107421875, 764.8796691894531]","[718.0327453613281, 218.56874084472656]","[31.930232882499695, 390.8407287597656]","[1940.4332275390625, 728.9906311035156]","[1674.3755493164062, 800.6062316894531]","[1896.4967651367188, 172.30571746826172]"
4,"[760.7648620605469, 119.80424499511719]","[1834.2191162109375, 685.4754638671875]","[978.8330383300781, 115.86018371582031]","[2126.0179443359375, 764.4737243652344]","[717.6399536132812, 218.72003936767578]","[31.27799190580845, 390.7740478515625]","[1942.0299682617188, 728.99609375]","[1673.867431640625, 801.0064086914062]","[1895.7950439453125, 174.06884002685547]"
5,"[761.3186645507812, 119.9224853515625]","[1836.4541015625, 684.0924377441406]","[980.8537292480469, 117.55877304077148]","[2126.4378662109375, 764.5363159179688]","[717.1299438476562, 219.17550659179688]","[31.809595182538033, 390.93724060058594]","[1943.0272827148438, 732.854736328125]","[1674.8765258789062, 799.44287109375]","[1895.5004272460938, 171.79534149169922]"
6,"[762.3110961914062, 120.14629364013672]","[1834.321044921875, 683.4866027832031]","[978.4165954589844, 116.14527893066406]","[2126.429443359375, 764.3922424316406]","[716.4697875976562, 218.31539916992188]","[1940.6799926757812, 732.04638671875]","[1670.1385498046875, 798.5933837890625]","[1894.7348022460938, 169.45907592773438]"
7,"[760.7775573730469, 121.31636047363281]","[975.1959228515625, 115.47178649902344]","[2126.244384765625, 764.4111633300781]","[714.8471069335938, 218.28376007080078]","[31.1990327835083, 390.8643035888672]","[1841.2257080078125, 673.7862243652344]","[1932.2417602539062, 734.8264465332031]","[1666.6954956054688, 797.5239562988281]","[1894.5757446289062, 168.59771728515625]"
8,"[757.9124755859375, 120.61400985717773]","[973.8528747558594, 113.99564361572266]","[2126.4942626953125, 764.3501281738281]","[714.1381225585938, 217.6612319946289]","[1924.9679565429688, 176.57171630859375]","[31.20556077361107, 390.66404724121094]","[1841.977783203125, 671.0473937988281]","[1936.79443359375, 733.98779296875]","[1664.5270385742188, 798.4376831054688]","[1895.068603515625, 168.87128448486328]"
9,"[994.2480773925781, 123.62295150756836]","[755.9095458984375, 119.78150177001953]","[2125.916259765625, 764.3731994628906]","[713.794921875, 218.4416046142578]","[1925.306396484375, 176.66932678222656]","[31.497893072664738, 390.68272399902344]","[955.6557922363281, 107.00650405883789]","[1840.1018676757812, 670.8272399902344]","[1936.1213989257812, 735.8281860351562]","[1665.4929809570312, 801.0772399902344]","[1895.6201171875, 165.59838104248047]"
10,"[995.8211975097656, 124.93967819213867]","[756.225341796875, 121.16690063476562]","[2126.0909423828125, 764.2332458496094]","[713.0389099121094, 218.73331451416016]","[31.44562229514122, 390.62689208984375]","[955.0597839355469, 107.3925552368164]","[1837.3905639648438, 670.1834106445312]","[1935.8057250976562, 738.4148254394531]","[1664.6689453125, 802.086181640625]","[1894.5897827148438, 162.37967681884766]"
