ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
20,"(1315.19677734375, 65.03760528564453)","(2252.0509033203125, 171.97724533081055)","(86.64889335632324, 587.3831176757812)","(1296.421142578125, 69.19776153564453)","(1343.724853515625, 142.50196075439453)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
21,"(1315.384521484375, 65.7040023803711)","(2252.1136474609375, 171.7364501953125)","(86.22751235961914, 588.1416015625)","(1296.3716430664062, 69.88675880432129)","(1343.4722290039062, 142.39474487304688)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
22,"(1315.5736083984375, 63.88153648376465)","(2252.2105712890625, 171.97289276123047)","(86.48880004882812, 587.9796447753906)","(1297.2494506835938, 67.67169570922852)","(1343.1802978515625, 143.45633697509766)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
23,"(1315.9119873046875, 63.68153953552246)","(2252.74462890625, 171.9031219482422)","(86.63592720031738, 588.18408203125)","(1297.6119384765625, 67.2168197631836)","(1343.6427001953125, 143.5877227783203)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
24,"(1315.843505859375, 62.94437599182129)","(2252.669189453125, 172.02731704711914)","(86.64028930664062, 588.30126953125)","(1297.5100708007812, 66.4807014465332)","(1343.1961669921875, 144.16907501220703)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
25,"(1315.873046875, 62.905235290527344)","(2252.60693359375, 171.78380966186523)","(86.2707347869873, 588.2062683105469)","(1296.510498046875, 66.6332015991211)","(1343.3174438476562, 144.3611602783203)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
26,"(1316.0075073242188, 62.45502853393555)","(2252.735595703125, 171.86770629882812)","(86.09213638305664, 588.2374572753906)","(1296.0216064453125, 66.18939399719238)","(1343.45849609375, 144.7354965209961)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
27,"(1316.0515747070312, 62.693382263183594)","(2252.577392578125, 171.71166610717773)","(86.32596588134766, 588.3500061035156)","(1296.1160278320312, 66.42434310913086)","(1343.6423950195312, 144.57014083862305)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
28,"(1316.0686645507812, 62.94537162780762)","(2252.3197021484375, 171.41783905029297)","(86.68252944946289, 587.8678588867188)","(1296.6502685546875, 66.74893379211426)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
29,"(1315.384521484375, 63.13792419433594)","(2252.5009765625, 171.29477310180664)","(86.4334659576416, 588.3724975585938)","(1296.9343872070312, 66.82228469848633)","(1343.2203979492188, 144.57231521606445)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
30,"(1315.236572265625, 63.20503807067871)","(2252.28564453125, 171.10845947265625)","(86.24906730651855, 588.8564453125)","(1297.0228271484375, 66.9459457397461)","(1343.3712768554688, 144.4752540588379)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
31,"(1314.9833374023438, 64.33280754089355)","(2252.1634521484375, 171.06175231933594)","(86.46223831176758, 588.9642944335938)","(1296.2302856445312, 68.52505683898926)","(1343.2649536132812, 144.29867553710938)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
32,"(1314.3265991210938, 64.84404754638672)","(2252.2406005859375, 170.80581665039062)","(86.67917060852051, 589.3297424316406)","(1296.4464721679688, 69.20840644836426)","(1342.9911499023438, 144.74149322509766)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
33,"(1313.9810180664062, 66.32648277282715)","(2252.814453125, 170.71376037597656)","(87.01389694213867, 589.3887329101562)","(1296.8634643554688, 70.7232437133789)","(1343.222900390625, 144.90171432495117)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
34,"(1313.4441528320312, 64.95499801635742)","(2252.48095703125, 170.5185546875)","(86.98215103149414, 589.2722473144531)","(1343.4058837890625, 144.74180221557617)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
35,"(1313.639404296875, 65.36489677429199)","(2252.8074951171875, 170.45745468139648)","(86.98014068603516, 588.9979553222656)","(1343.8060913085938, 144.83394622802734)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
36,"(1314.0264892578125, 66.0620288848877)","(2253.3670654296875, 170.17834091186523)","(87.14567947387695, 588.8340759277344)","(1345.0781860351562, 144.164306640625)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
37,"(1313.97705078125, 66.2230167388916)","(2253.063232421875, 170.23432159423828)","(87.72151565551758, 588.4609375)","(1345.5847778320312, 143.78226852416992)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
