 0,"[1315.8790283203125, 64.7287769317627]","[2251.4678955078125, 172.2965202331543]","[85.91993522644043, 586.7882080078125]","[1299.4440307617188, 68.04606246948242]"
1,"[1314.2264404296875, 64.83219718933105]","[2252.459228515625, 170.79090881347656]","[86.59793090820312, 589.2944030761719]","[1296.630126953125, 69.23457145690918]","[1343.103759765625, 144.7541732788086]"
2,"[1315.8550415039062, 65.45121192932129]","[2255.2987060546875, 169.53175735473633]","[89.65696716308594, 588.4881591796875]"
3,"[1312.8366088867188, 60.025909423828125]","[2253.3055419921875, 170.6448097229004]","[88.97477912902832, 591.9252014160156]","[1294.886474609375, 63.87335777282715]","[1338.3624267578125, 144.6433448791504]"
4,"[1308.7213745117188, 61.41164207458496]","[2246.6759033203125, 170.11592864990234]","[86.52890968322754, 592.5338745117188]"
5,"[1308.3944091796875, 60.42066192626953]","[2248.4427490234375, 168.08402633666992]","[88.51059150695801, 595.7039489746094]"
6,"[1307.9424438476562, 56.93686103820801]","[2247.5115966796875, 167.22446823120117]","[87.69333267211914, 593.8872985839844]"
7,"[1307.8931884765625, 58.932618141174316]","[2245.9903564453125, 167.37994384765625]","[88.47611808776855, 596.00537109375]"
8,"[1331.6051025390625, 46.75342655181885]","[1212.1604614257812, 364.28387451171875]","[2257.38818359375, 163.86767196655273]","[89.03772735595703, 595.75341796875]","[1054.1740417480469, 357.44622802734375]"
9,"[1410.3688354492188, 18.385059267282486]","[2271.9881591796875, 158.76430892944336]","[1255.1156005859375, 288.8753662109375]","[1278.4221801757812, 465.8822479248047]","[1302.4822387695312, 417.10511779785156]"
10,"[1203.2619018554688, 329.2649383544922]","[2276.5203857421875, 148.73979568481445]","[90.4203872680664, 593.5098876953125]","[1281.577880859375, 419.5663299560547]","[1295.8345947265625, 375.1023712158203]"
11,"[1376.4066162109375, 14.459787793457508]","[1203.9025268554688, 336.9235382080078]","[2273.409423828125, 147.12928009033203]","[89.90583610534668, 593.7015075683594]","[1289.0477294921875, 473.02207946777344]","[1070.0956420898438, 328.90740966796875]","[1302.9389038085938, 430.9160461425781]"
12,"[1269.690185546875, 305.3275604248047]","[2277.5482177734375, 151.1199493408203]","[91.07431602478027, 594.1570129394531]","[1264.8280029296875, 569.7430114746094]","[1080.7638549804688, 334.5248260498047]"
13,"[1261.6788940429688, 348.67437744140625]","[2282.50390625, 153.93755722045898]","[90.30535697937012, 593.8007507324219]","[1263.439697265625, 564.304443359375]"
14,"[1250.52587890625, 346.27806091308594]","[1335.820068359375, 16.19846275448799]","[1243.3336791992188, 567.004638671875]","[2272.1435546875, 152.96001052856445]","[1267.184814453125, 5.31399579718709]","[1071.900634765625, 335.9953308105469]"
15,"[1258.111328125, 346.15269470214844]","[2267.054443359375, 134.83150482177734]","[87.63935852050781, 594.4124755859375]"
16,"[1264.4242553710938, 325.9949493408203]","[1196.4990234375, 359.50938415527344]","[2268.6053466796875, 146.20578002929688]","[87.86537170410156, 593.7366333007812]"
17,"[1260.1090698242188, 297.9907684326172]","[2272.50048828125, 158.54233169555664]","[1268.0178833007812, 545.6948547363281]"
18,"[1260.718505859375, 305.82679748535156]","[2274.28759765625, 149.55721282958984]","[83.55820846557617, 593.5205078125]","[1071.04052734375, 322.3644256591797]"
19,"[1261.42138671875, 314.5062255859375]","[1253.9749755859375, 552.8890991210938]","[2266.174072265625, 134.46822357177734]","[87.3543472290039, 593.2795715332031]","[309.06117248535156, 561.5162658691406]","[1058.0826110839844, 338.8531036376953]"
20,"[1198.8609008789062, 350.23193359375]","[2264.93017578125, 134.9469871520996]","[1248.4122314453125, 335.81884765625]","[85.82188034057617, 593.1071472167969]","[1267.0703125, 548.0014953613281]","[1064.2347412109375, 328.65403747558594]"
