ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
14,"(1551.5128173828125, 597.9527282714844)","(1251.0344848632812, 357.965087890625)","(547.8386535644531, 396.9396667480469)","(1558.63037109375, 212.02362823486328)","(846.0050659179688, 698.8075866699219)","(851.2194213867188, 507.53636169433594)","(674.4136047363281, 368.84947204589844)","(655.9144287109375, 434.9320373535156)","(897.95263671875, 630.3623962402344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
15,"(1551.9984130859375, 597.2074890136719)","(1250.6995849609375, 356.14459228515625)","(547.9830017089844, 396.56268310546875)","(1560.2589721679688, 209.3996124267578)","(853.4463500976562, 690.9368286132812)","(674.5121459960938, 370.0131072998047)","(655.05615234375, 433.43450927734375)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
16,"(1552.2141723632812, 597.1693420410156)","(1250.9471435546875, 355.9935607910156)","(548.1671752929688, 396.18829345703125)","(1560.9017944335938, 208.93324279785156)","(854.96875, 689.4252319335938)","(674.6893615722656, 370.45411682128906)","(655.118408203125, 434.3095245361328)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
17,"(1552.0184326171875, 597.0937805175781)","(1250.6885986328125, 355.9366912841797)","(548.7609558105469, 396.2367401123047)","(1560.5885620117188, 208.97913360595703)","(855.7865600585938, 688.6186218261719)","(674.44580078125, 370.0609130859375)","(655.2470397949219, 434.3667755126953)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
18,"(1551.9163208007812, 597.2994384765625)","(1251.1456298828125, 356.21319580078125)","(549.1502990722656, 396.4931945800781)","(1561.8850708007812, 207.6879119873047)","(851.2724304199219, 693.7984008789062)","(862.0524291992188, 513.1155090332031)","(674.6443786621094, 369.93150329589844)","(656.011474609375, 435.2344970703125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
19,"(1551.484619140625, 597.7105102539062)","(1249.8036499023438, 356.3202209472656)","(548.11181640625, 397.0920715332031)","(1560.9292602539062, 209.59569549560547)","(854.133056640625, 691.2613220214844)","(674.8073120117188, 371.0804748535156)","(656.7603149414062, 434.4453125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
20,"(1551.2508544921875, 597.9568786621094)","(1247.2440795898438, 357.941650390625)","(1559.4187622070312, 212.16950225830078)","(860.2115783691406, 686.0653991699219)","(840.8005981445312, 503.6710205078125)","(677.4911499023438, 370.76849365234375)","(656.6646728515625, 435.1874084472656)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
21,"(1551.0654907226562, 598.0615234375)","(1245.7847900390625, 358.0282897949219)","(1559.2674560546875, 211.88677978515625)","(861.1773071289062, 685.1935424804688)","(840.5790710449219, 503.4266662597656)","(677.6204833984375, 370.778076171875)","(656.3365173339844, 435.8760070800781)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
22,"(1550.904541015625, 597.8077392578125)","(1248.37744140625, 357.4434051513672)","(1558.5182495117188, 212.3095474243164)","(861.643798828125, 682.9346923828125)","(840.7728881835938, 503.59217834472656)","(678.0248413085938, 370.90936279296875)","(655.1622314453125, 435.52239990234375)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
23,"(1550.3760986328125, 597.6727600097656)","(1248.7235717773438, 357.4651641845703)","(1558.2815551757812, 212.3673858642578)","(858.6434936523438, 687.5412292480469)","(841.22021484375, 504.42425537109375)","(677.1811828613281, 370.4670715332031)","(655.1541137695312, 434.95086669921875)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
